game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
22380,Fallout: New Vegas,https://store.steampowered.com/app/22380,23.96,0.0,3.7,2.13,3.38,7.71,5.93,13.13,7.49
1583230,High On Life,https://store.steampowered.com/app/1583230,18.31,4.99,2.9,0.46,6.24,5.69,2.66,4.57,5.73
1809540,Nine Sols,https://store.steampowered.com/app/1809540,15.11,5.02,2.7,1.25,0.0,2.99,4.71,6.09,4.73
1949030,Sherlock Holmes The Awakened,https://store.steampowered.com/app/1949030,34.74,7.79,6.33,0.96,1.34,4.79,6.57,6.0,8.56
1222700,A Way Out,https://store.steampowered.com/app/1222700,21.19,0.0,3.56,3.54,4.89,8.43,2.68,3.35,5.96
329050,Devil May Cry 4 Special Edition,https://store.steampowered.com/app/329050,13.88,3.45,1.75,1.53,0.0,8.82,1.2,9.71,5.04
620,Portal 2,https://store.steampowered.com/app/620,11.23,0.0,2.04,0.64,4.27,2.88,4.65,4.71,3.8
2909400,FINAL FANTASY VII REBIRTH,https://store.steampowered.com/app/2909400,27.42,4.66,4.54,3.5,0.0,3.08,6.3,7.52,7.13
1659420,UNCHARTED™: Legacy of Thieves Collection,https://store.steampowered.com/app/1659420,17.25,0.0,3.24,1.66,0.0,4.2,0.16,0.26,3.35
304240,Resident Evil,https://store.steampowered.com/app/304240,24.65,0.0,3.16,1.16,0.0,2.94,1.51,0.02,4.18
1536090,Echoes of the Plum Grove,https://store.steampowered.com/app/1536090,25.45,9.01,3.99,2.21,7.21,10.92,4.87,7.53,8.9
1145360,Hades,https://store.steampowered.com/app/1145360,18.65,0.0,2.49,1.43,0.0,3.98,2.86,5.78,4.4
1137300,Sherlock Holmes Chapter One,https://store.steampowered.com/app/1137300,27.02,13.06,3.38,1.97,6.32,5.27,14.08,21.38,11.56
1218210,Coromon,https://store.steampowered.com/app/1218210,22.77,4.17,3.08,1.21,4.05,8.02,9.08,9.69,7.76
1488200,Symphony of War: The Nephilim Saga,https://store.steampowered.com/app/1488200,18.29,5.16,1.73,3.31,3.27,6.29,10.08,13.86,7.75
1934570,South of Midnight,https://store.steampowered.com/app/1934570,23.81,0.02,4.36,2.66,3.09,7.64,2.95,7.89,6.55
1299510,Vampire: The Masquerade – Swansong,https://store.steampowered.com/app/1299510,28.98,4.45,3.88,0.74,0.68,12.23,7.22,7.86,8.25
1256670,Library Of Ruina,https://store.steampowered.com/app/1256670,27.4,11.09,3.47,1.18,0.28,6.89,6.21,6.69,7.9
2701660,DRAGON QUEST III HD-2D Remake,https://store.steampowered.com/app/2701660,13.91,4.23,1.99,1.72,0.0,4.17,4.08,4.58,4.34
2515020,FINAL FANTASY XVI,https://store.steampowered.com/app/2515020,19.48,2.55,2.03,2.02,0.0,2.98,6.12,6.5,5.21
612880,Wolfenstein II: The New Colossus,https://store.steampowered.com/app/612880,29.43,3.07,2.77,2.62,1.56,8.01,4.95,10.36,7.85
867210,Songs of Conquest,https://store.steampowered.com/app/867210,16.8,4.75,2.55,2.5,3.75,7.63,7.05,12.86,7.24
10180,Call of Duty®: Modern Warfare® 2 (2009),https://store.steampowered.com/app/10180,11.92,0.0,1.79,1.21,1.43,1.22,2.85,4.49,3.11
2539520,Z.O.N.A: Origin,https://store.steampowered.com/app/2539520,29.49,1.0,3.73,2.63,6.73,6.39,6.91,10.43,8.41
1492680,The Pathless,https://store.steampowered.com/app/1492680,17.81,5.75,3.49,2.34,2.26,5.33,2.7,5.84,5.69
2296990,We Were Here Expeditions: The FriendShip,https://store.steampowered.com/app/2296990,16.64,3.83,3.29,2.14,8.96,5.0,0.0,0.0,4.98
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,https://store.steampowered.com/app/1184370,24.01,7.12,2.97,3.65,4.06,8.92,5.58,17.19,9.19
1700270,Lucky Tower Ultimate,https://store.steampowered.com/app/1700270,21.46,6.9,3.86,1.45,3.59,5.21,5.28,5.23,6.62
3669060,Blade & Soul NEO,https://store.steampowered.com/app/3669060,21.02,0.0,3.14,2.09,3.77,6.21,4.3,7.07,5.95
