game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total,keyword_rescaled,embedding_rescaled,baseline_combined_rescaled,generative_evaluation_krauss_1_definition_x,generative_evaluation_krauss_2_kontrast_x,generative_evaluation_krauss_3_beispiel_rossmann_x,generative_evaluation_krauss_4_schluss_x,generative_evaluation_NLI_Total_x,generative_evaluation_krauss_1_definition_y,generative_evaluation_krauss_2_kontrast_y,generative_evaluation_krauss_3_beispiel_rossmann_y,generative_evaluation_krauss_4_schluss_y,generative_evaluation_NLI_Total_y
3124810,Guess the Flag!,https://store.steampowered.com/app/3124810,0.0,0.0,0.0,0.0,15.29,0.0,2.32,3.73,9.43,0.72,8.82,21.35,7.71,41.97,60.44,51.21,,,,,,,,,,
3125570,Laundry & Supermarket Simulator,https://store.steampowered.com/app/3125570,0.0,0.0,0.0,0.0,14.47,0.0,1.96,0.0,0.4,2.07,8.55,2.14,3.7,41.97,20.72,31.35,,,,,,,,,,
3125750,EDENS ZERO,https://store.steampowered.com/app/3125750,0.0,0.0,0.0,0.0,14.31,1.99,2.61,0.43,0.12,2.8,1.89,2.11,3.28,41.97,17.85,29.91,,,,,,,,,,
3125890,Mineral Defense,https://store.steampowered.com/app/3125890,0.0,0.0,0.0,0.0,6.93,4.99,0.66,0.58,0.0,2.56,4.96,4.3,3.12,41.97,16.84,29.4,,,,,,,,,,
3126150,BOKURA: planet,https://store.steampowered.com/app/3126150,0.0,0.0,0.0,0.0,13.64,0.68,2.75,2.22,6.39,4.53,2.5,2.35,4.38,41.97,26.07,34.02,,,,,,,,,,
3126160,Nazar,https://store.steampowered.com/app/3126160,0.0,0.0,0.0,0.0,28.34,1.26,7.12,0.32,4.35,1.95,5.99,1.62,6.37,41.97,45.86,43.91,,,,,,,,,,
3127480,CornField,https://store.steampowered.com/app/3127480,0.0,0.0,0.0,0.0,24.33,0.0,2.37,0.82,3.07,7.12,1.23,5.21,5.52,41.97,36.81,39.39,,,,,,,,,,
312750,Final Fantasy IV (3D Remake),https://store.steampowered.com/app/312750,0.0,0.0,0.0,0.0,23.2,3.11,3.32,1.62,0.0,3.37,6.57,3.44,5.58,41.97,37.43,39.7,,,,,,,,,,
312780,Way of the Samurai 4,https://store.steampowered.com/app/312780,0.0,0.0,0.0,0.0,26.04,8.51,2.8,4.42,7.24,10.73,8.12,18.43,10.79,41.97,85.57,63.77,,,,,,,,,,
312790,Agarest: Generations of War 2,https://store.steampowered.com/app/312790,0.0,2.77,0.0,0.75,27.82,4.76,4.21,3.27,3.1,7.25,3.8,9.94,8.02,66.79,63.66,65.22,,,,,,,,,,
312840,Fahrenheit: Indigo Prophecy Remastered,https://store.steampowered.com/app/312840,0.0,0.0,0.0,0.0,33.52,10.17,5.87,1.05,0.0,10.68,2.22,4.67,8.52,41.97,68.58,55.27,,,,,,,,,,
3128580,OMEGA 6 The Triangle Stars,https://store.steampowered.com/app/3128580,0.0,0.0,0.0,0.0,12.84,2.73,3.22,0.0,0.0,1.62,3.39,1.71,3.19,41.97,17.27,29.62,,,,,,,,,,
3128740,Beff Jezos Simulator,https://store.steampowered.com/app/3128740,0.0,0.0,0.0,0.0,13.39,2.45,2.13,0.0,3.05,2.97,8.66,1.42,4.26,41.97,25.06,33.52,,,,,,,,,,
3129110,Camille and Laura,https://store.steampowered.com/app/3129110,0.0,0.0,0.0,0.0,25.68,2.21,4.77,0.49,3.6,7.49,3.17,0.0,5.93,41.97,41.1,41.53,,,,,,,,,,
313010,Cities XXL,https://store.steampowered.com/app/313010,0.0,0.0,0.0,0.0,19.46,2.56,2.99,0.71,5.21,0.33,16.55,15.55,7.92,41.97,62.63,52.3,,,,,,,,,,
3130440,Unterholz,https://store.steampowered.com/app/3130440,0.0,0.0,0.0,0.0,37.07,14.36,4.66,3.3,5.42,7.13,9.09,11.05,11.51,41.97,89.06,65.52,,,,,,,,,,
